Artist Reputation,Height,Width,Weight,Price Of Sculpture,Base Shipping Price,Area,Combined_Price,Duration,International,Express Shipment,Installation Included,Fragile,Material,Transport,Month,Year,Week,Customer Information,Customer Location,distance_sum,Cost
0.78,13.0,6.0,448.0,4.05,18.21,78.0,22.26,4,No,No,No,Yes,Clay,Roadways,11,2018,4,Working Class,AP,10780599.84644174,5.928924028633084
0.4618504347826087,14.0,6.0,445.0,5.76,21.38,84.0,27.14,0,Yes,Yes,Yes,No,Aluminium,Airways,8,2015,3,Wealthy,OH,10781005.898274783,5.4481587747871965
0.42,20.0,11.0,449.0,3.22,24.71,220.0,27.93,-1,Yes,No,No,No,Wood,Waterways,3,2017,3,Working Class,ND,10781283.993558262,5.502033420196148
0.1,26.0,8.0,446.0,4.4,14.05,208.0,18.450000000000003,0,No,No,No,No,Aluminium,Roadways,5,2017,0,Working Class,ND,10781927.493558262,4.758835033532241
0.4618504347826087,7.0,4.0,442.0,6.34,18.18,28.0,24.52,-1,No,No,No,No,Brass,Roadways,7,2016,6,Working Class,VT,10784034.938274782,5.217161539587027
0.45,24.0,11.0,442.0,6.56,10.11,264.0,16.669999999999998,3,No,Yes,No,No,Wood,Roadways,6,2016,2,Wealthy,ID,10784173.41355826,5.439903730609908
0.2,12.0,7.0,442.0,5.67,21.77,84.0,27.439999999999998,-2,Yes,No,Yes,No,Aluminium,Waterways,5,2017,0,Working Class,ND,10784271.093558261,5.154100515787627
0.4618504347826087,11.0,6.0,446.0,3.13,22.89,66.0,26.02,4,No,No,Yes,No,Bronze,Roadways,11,2017,0,Working Class,MA,10784464.198274784,5.8944028342648505
0.52,9.0,5.0,441.0,5.28,13.91,45.0,19.19,-1,No,Yes,Yes,No,Brass,Roadways,1,2018,4,Working Class,AL,10785234.486441739,5.423627557513483
0.04,5.0,3.0,445.0,3.27,11.92,15.0,15.19,-3,No,No,No,No,Stone,Roadways,1,2015,6,Working Class,ND,10785715.733558262,5.055990995817053
0.05,10.0,4.0,443.0,3.81,16.98,40.0,20.79,-3,No,No,Yes,No,Bronze,Waterways,1,2017,3,Working Class,AE,10786227.573558262,4.905348849769155
0.49,18.0,9.0,1525.0,6.61,19.4,162.0,26.009999999999998,2,No,No,No,Yes,Clay,Roadways,12,2016,4,Working Class,IN,10786242.186441738,5.730911142044453
0.85,28.0,9.617647058823529,440.0,6.28,13.93,269.2941176470588,20.21,3,No,No,Yes,No,Wood,Roadways,11,2018,3,Working Class,NC,10786639.646441739,6.632857800889775
0.09,29.0,9.0,440.0,5.16,22.32,261.0,27.48,4,No,No,Yes,No,Aluminium,Roadways,5,2019,2,Working Class,AP,10786842.473558262,5.210469275974842
0.82,16.0,6.0,440.0,6.93,20.35,96.0,27.28,0,No,Yes,Yes,No,Aluminium,Airways,4,2017,1,Working Class,NH,10787083.10644174,6.428525216805897
0.09,12.0,7.0,439.0,5.61,15.71,84.0,21.32,0,Yes,Yes,Yes,No,Aluminium,Airways,7,2019,0,Wealthy,CO,10787545.833558261,5.139907629800395
0.13,33.0,9.0,1527.0,5.43,13.08,297.0,18.509999999999998,4,No,No,No,No,Aluminium,Roadways,3,2018,1,Working Class,NV,10787686.973558262,4.918520005188451
0.09,26.0,11.0,440.0,4.39,13.23,286.0,17.62,4,No,No,No,No,Wood,Roadways,2,2016,6,Working Class,GA,10787891.47355826,4.757376118877422
0.93,25.0,12.0,440.0,4.08,19.43,300.0,23.509999999999998,-2,No,Yes,Yes,No,Wood,Airways,3,2018,1,Working Class,AP,10788813.846441738,6.735637486270971
0.4618504347826087,24.0,11.0,437.0,6.15,23.93,264.0,30.08,4,No,Yes,No,No,Wood,Roadways,11,2018,3,Working Class,NH,10788970.178274784,6.890843070398204
0.19,21.0,8.0,1530.0,5.57,18.8,168.0,24.37,1,No,No,No,Yes,Clay,Airways,1,2015,4,Working Class,KS,10789183.433558261,5.218191322068752
0.16,4.0,3.0,437.0,5.38,22.96,12.0,28.34,-1,Yes,No,Yes,No,Marble,Waterways,7,2017,2,Wealthy,MI,10789507.333558261,5.483011107487047
0.58,14.0,7.0,440.0,3.45,18.1,98.0,21.55,4,No,No,No,No,Aluminium,Roadways,4,2019,6,Working Class,AK,10789555.586441739,5.533942695364302
0.34,20.0,10.0,436.0,6.15,11.03,200.0,17.18,1,No,Yes,Yes,No,Wood,Roadways,5,2019,3,Wealthy,AE,10790055.733558264,5.3338292875493964
0.4618504347826087,21.766204081632655,17.0,1529.0,4.08,18.23,370.02546938775515,22.310000000000002,0,No,Yes,No,No,Aluminium,Roadways,1,2015,4,Working Class,IN,10790236.198274784,5.3582829477154705
0.26,13.0,6.0,1534.0,5.87,20.72,78.0,26.59,-2,No,Yes,No,No,Bronze,Airways,10,2017,5,Working Class,DC,10791268.493558262,5.2526921885217615
0.43,22.0,6.0,1534.0,5.15,18.57,132.0,23.72,3,No,Yes,Yes,No,Bronze,Roadways,9,2018,1,Wealthy,WI,10791476.273558259,5.829974499893961
0.75,22.0,9.0,435.0,5.5,24.12,198.0,29.62,-2,No,No,Yes,No,Wood,Roadways,6,2016,5,Working Class,AR,10791489.18644174,6.353935163643291
0.7,24.0,9.0,1531.0,8.17,21.95,216.0,30.119999999999997,4,Yes,No,No,Yes,Clay,Airways,9,2015,4,Working Class,ND,10791923.486441739,6.86905602984286
0.73,9.0,4.0,434.0,6.02,18.29,36.0,24.31,4,No,Yes,No,No,Brass,Roadways,12,2018,4,Wealthy,TX,10792346.866441738,6.1187137480234455
0.23,21.766204081632655,7.0,434.0,4.99,23.52,152.36342857142859,28.509999999999998,0,Yes,No,Yes,No,Aluminium,Roadways,1,2019,0,Working Class,NJ,10792769.753558261,5.270689199430563
0.1,21.0,10.0,434.0,4.73,18.8,210.0,23.53,-1,Yes,No,Yes,No,Wood,Waterways,4,2015,4,Wealthy,ME,10793396.29355826,5.067519596296967
0.9,23.0,13.0,433.0,5.85,14.61,299.0,20.46,-2,No,No,Yes,No,Wood,Waterways,11,2015,6,Working Class,MT,10793803.80644174,6.487227293196927
0.47,35.0,8.0,1539.0,6.04,15.69,280.0,21.73,-4,Yes,No,Yes,No,Aluminium,Waterways,12,2015,3,Working Class,OH,10793984.94644174,5.611484420509835
0.69,35.0,10.0,433.0,4.68,11.33,350.0,16.009999999999998,-4,No,No,Yes,No,Wood,Roadways,7,2019,5,Wealthy,OH,10794245.066441737,5.87355337824289
0.24,9.0,5.0,1539.0,6.45,18.39,45.0,24.84,-4,Yes,No,No,No,Brass,Waterways,6,2015,4,Working Class,AE,10794345.493558262,5.1243805592884755
0.14,23.0,7.0,432.0,6.86,12.74,161.0,19.6,1,No,Yes,No,No,Aluminium,Airways,11,2015,0,Working Class,LA,10794967.593558261,4.885298802784958
0.45,21.766204081632655,9.617647058823529,429.0,5.79,20.36,209.33966866746698,26.15,0,No,Yes,Yes,No,Wood,Roadways,2,2018,2,Working Class,WV,10797152.473558262,5.731462490429511
0.66,30.0,13.0,433.0,3.29,23.31,390.0,26.599999999999998,0,No,Yes,No,No,Wood,Airways,4,2018,4,Wealthy,AP,10797213.486441739,6.234077336817133
0.4618504347826087,13.0,8.0,428.0,6.45,20.6,104.0,27.05,0,No,No,Yes,Yes,Clay,Roadways,3,2017,3,Working Class,LA,10798327.99827478,5.7324347172293635
0.5,11.0,8.0,1547.0,6.12,17.19,88.0,23.310000000000002,2,Yes,No,Yes,No,Bronze,Waterways,10,2017,2,Working Class,AZ,10798697.70644174,5.717685379825192
0.45,36.0,8.0,430.0,3.79,10.41,288.0,14.2,0,No,Yes,Yes,No,Wood,Airways,7,2018,5,Wealthy,ME,10798764.47355826,5.4257866717938406
0.76,5.0,5.0,1539.0,3.05,22.79,25.0,25.84,-4,Yes,No,No,No,Marble,Waterways,3,2017,3,Wealthy,MD,10799106.426441738,5.775203506884464
0.52,14.0,8.0,427.0,6.41,12.76,112.0,19.17,1,No,Yes,Yes,No,Aluminium,Roadways,1,2017,0,Wealthy,ID,10799385.28644174,5.676993499565986
0.92,17.0,8.0,431.0,3.2,21.62,136.0,24.82,-3,Yes,Yes,No,No,Aluminium,Airways,5,2016,0,Working Class,CA,10800161.74644174,6.37905416978864
0.66,24.0,11.0,426.0,5.79,10.09,264.0,15.879999999999999,-2,No,No,No,No,Wood,Roadways,5,2017,4,Working Class,MI,10800489.02644174,5.433940320332751
0.4618504347826087,21.766204081632655,9.617647058823529,428.0,3.12,21.63,209.33966866746698,24.75,3,No,No,No,No,Brass,Roadways,2,2018,2,Working Class,SC,10802660.998274783,5.9945348289652
0.27,8.0,4.0,425.0,4.05,21.97,32.0,26.02,0,No,No,No,No,Brass,Airways,6,2018,4,Wealthy,NH,10803536.47355826,5.325737962124029
0.66,12.0,6.0,423.0,6.88,14.38,72.0,21.26,-2,Yes,Yes,No,No,Aluminium,Roadways,3,2016,5,Wealthy,MT,10804144.346441738,5.858961197294888
0.13,28.0,10.0,424.0,4.33,14.07,280.0,18.4,-2,Yes,Yes,Yes,No,Wood,Airways,9,2015,4,Wealthy,VT,10804310.833558261,5.14865659199363
0.4618504347826087,21.766204081632655,9.617647058823529,1556.0,6.76,20.3,209.33966866746698,27.060000000000002,0,Yes,No,Yes,No,Aluminium,Airways,5,2016,0,Working Class,AA,10804354.378274783,6.111711212202338
0.43,12.0,6.0,420.0,5.54,21.69,72.0,27.23,-1,No,Yes,Yes,Yes,Clay,Airways,2,2017,4,Working Class,AL,10806655.69355826,5.5563646338701265
0.11,10.0,9.617647058823529,420.0,4.79,20.58,96.17647058823529,25.369999999999997,1,No,No,Yes,No,Bronze,Waterways,6,2017,2,Wealthy,DE,10807847.813558262,5.227465625576086
0.95,6.0,5.0,423.0,3.34,14.3,30.0,17.64,3,Yes,No,No,No,Brass,Waterways,2,2018,0,Working Class,KS,10808163.726441737,5.696287792893941
0.8,17.0,8.0,1543.0,13.67,18.1,136.0,31.770000000000003,-4,No,No,Yes,Yes,Clay,Roadways,3,2015,1,Working Class,WV,10808941.206441738,6.062924373158721
0.1,28.0,9.0,418.0,6.24,17.11,252.0,23.35,3,No,No,No,No,Wood,Roadways,1,2017,6,Working Class,AP,10809237.353558261,4.897242606741165
0.4618504347826087,11.0,8.0,421.0,3.26,16.42,88.0,19.68,2,No,No,Yes,Yes,Clay,Roadways,7,2015,5,Working Class,NJ,10809563.918274783,5.900664182781485
0.78,18.0,12.0,417.0,6.52,20.5,216.0,27.02,3,No,Yes,No,No,Brass,Roadways,8,2019,5,Working Class,MO,10810395.96644174,6.43730354935442
0.63,20.0,12.0,417.0,4.91,20.8,240.0,25.71,2,No,Yes,Yes,No,Wood,Roadways,10,2018,1,Wealthy,IL,10810544.826441739,6.139561224099281
0.07,4.0,3.0,417.0,6.93,21.67,12.0,28.6,4,No,Yes,No,No,Marble,Roadways,6,2015,4,Working Class,AP,10810918.893558262,5.37564870948436
0.39,26.0,12.0,415.0,5.61,23.47,312.0,29.08,4,No,No,No,No,Wood,Roadways,2,2015,5,Wealthy,FL,10811954.993558262,5.679967809890161
0.24,28.0,10.0,1563.0,3.34,24.95,280.0,28.29,-2,No,Yes,No,No,Aluminium,Roadways,1,2019,5,Working Class,ID,10812126.833558261,5.283812680345155
1.0,33.0,11.0,1564.0,8.52,13.03,363.0,21.549999999999997,4,No,No,Yes,No,Aluminium,Airways,10,2017,5,Working Class,NC,10812547.88644174,8.006507557851162
0.98,13.0,7.0,415.0,6.74,14.19,91.0,20.93,0,No,No,Yes,No,Aluminium,Roadways,9,2018,6,Working Class,OH,10813272.486441739,6.576970836150536
0.37,12.0,6.0,414.0,4.92,21.24,72.0,26.159999999999997,4,Yes,No,No,Yes,Clay,Airways,1,2018,0,Working Class,NJ,10813610.313558262,5.5822925770684915
0.27,21.0,11.0,414.0,4.96,19.68,231.0,24.64,0,No,No,Yes,No,Wood,Roadways,6,2015,4,Wealthy,TX,10813678.653558262,5.371614295609493
0.53,17.0,9.617647058823529,413.0,6.02,18.32,163.5,24.34,1,No,Yes,No,Yes,Clay,Airways,9,2018,6,Wealthy,CT,10814058.406441739,5.903671046157313
0.71,28.0,9.0,1566.0,9.62,14.25,252.0,23.869999999999997,-3,No,No,No,Yes,Clay,Roadways,3,2015,5,Working Class,NV,10814717.186441738,6.821685276941856
0.25,12.0,8.0,414.0,4.04,18.8,96.0,22.84,-4,No,No,Yes,No,Aluminium,Roadways,7,2018,3,Wealthy,AL,10815221.77355826,5.126342101808226
0.24,5.0,3.0,411.0,5.98,22.14,15.0,28.12,-3,Yes,Yes,No,No,Marble,Airways,12,2015,0,Wealthy,AR,10816377.973558262,5.546309615831637
0.3,11.0,7.0,415.0,3.01,20.41,77.0,23.42,-3,Yes,Yes,No,Yes,Brass,Airways,7,2017,3,Working Class,CT,10816811.253558261,5.260615499364025
0.18,8.0,4.0,410.0,5.17,10.94,32.0,16.11,1,Yes,Yes,No,No,Bronze,Airways,12,2016,3,Working Class,OR,10817941.09355826,5.03909316691274
0.83,17.0,9.0,411.0,4.48,16.05,153.0,20.53,1,No,No,Yes,No,Aluminium,Roadways,3,2017,1,Working Class,SD,10818028.706441738,6.09805181000363
0.38,5.0,3.0,410.0,4.78,24.21,15.0,28.990000000000002,4,No,No,No,No,Brass,Roadways,2,2015,5,Working Class,OH,10818108.653558262,5.5480249489877975
0.68,21.0,9.617647058823529,1578.0,4.64,16.03,201.97058823529412,20.67,-4,No,No,Yes,No,Aluminium,Roadways,11,2017,5,Working Class,AZ,10818289.78644174,5.917387343711666
0.06,21.766204081632655,4.0,411.0,4.26,19.16,87.06481632653062,23.42,0,Yes,No,Yes,No,Brass,Airways,5,2019,6,Working Class,AL,10818452.11355826,5.180771802692993
0.77,6.0,5.0,409.0,4.56,21.52,30.0,26.08,3,Yes,No,No,No,Bronze,Waterways,12,2017,0,Working Class,IL,10819928.02644174,5.795784157111038
0.72,25.0,17.0,408.0,5.07,21.13,425.0,26.2,4,No,Yes,No,No,Wood,Roadways,4,2019,5,Wealthy,OR,10820237.80644174,6.480136582232532
0.04,7.0,5.0,408.0,6.53,18.77,35.0,25.3,1,Yes,No,Yes,No,Brass,Roadways,7,2015,3,Working Class,ID,10820342.05355826,5.146738377088596
0.86,11.0,7.0,408.0,6.59,14.64,77.0,21.23,-1,No,Yes,Yes,No,Aluminium,Roadways,1,2015,5,Working Class,KS,10820369.446441738,6.281425271459509
0.87,11.0,9.617647058823529,408.0,6.58,10.73,105.79411764705881,17.310000000000002,0,No,No,No,Yes,Clay,Roadways,4,2016,2,Wealthy,CT,10820389.52644174,6.1991695347330005
0.4618504347826087,11.0,6.0,407.0,6.61,17.04,66.0,23.65,0,Yes,No,Yes,No,Bronze,Waterways,3,2017,5,Working Class,HI,10820816.958274782,5.25504445431457
0.1,16.0,7.0,409.0,3.96,13.25,112.0,17.21,-2,No,No,Yes,No,Aluminium,Roadways,11,2016,2,Working Class,MN,10821135.733558262,4.773730827532009
0.41,12.0,8.0,406.0,6.28,21.17,96.0,27.450000000000003,4,No,No,No,No,Aluminium,Roadways,11,2017,4,Working Class,NH,10821741.433558261,5.4991744082830065
0.2,12.0,7.0,406.0,6.38,11.63,84.0,18.01,1,No,No,Yes,No,Aluminium,Roadways,6,2015,0,Working Class,DC,10822058.39355826,5.005823737099034
0.86,10.0,5.0,1585.0,5.33,11.64,50.0,16.97,-4,Yes,Yes,No,No,Brass,Airways,9,2016,4,Wealthy,PA,10822112.90644174,6.089248936257675
0.52,34.0,6.0,1586.0,5.29,17.22,204.0,22.509999999999998,3,Yes,Yes,No,Yes,Clay,Airways,8,2017,6,Working Class,KS,10822114.386441741,6.069628568077336
0.82,16.0,7.0,409.0,3.47,11.85,112.0,15.32,-3,No,No,Yes,Yes,Clay,Airways,6,2017,2,Working Class,KS,10822383.866441738,5.733308913914523
0.95,16.0,7.0,409.0,3.59,16.41,112.0,20.0,-4,Yes,No,No,Yes,Clay,Waterways,5,2016,2,Working Class,LA,10822434.686441738,6.06580642047611
0.4618504347826087,15.0,6.0,406.0,4.5,16.1,90.0,20.6,0,No,No,No,No,Brass,Roadways,11,2017,0,Working Class,VT,10822890.778274782,5.5245361843791745
0.23,10.0,5.0,406.0,4.17,20.58,50.0,24.75,-2,No,No,No,Yes,Clay,Roadways,5,2017,6,Working Class,AE,10823712.45355826,5.056436869896863
0.41,31.0,8.0,404.0,6.0,21.39,248.0,27.39,1,No,No,Yes,No,Wood,Roadways,9,2015,4,Working Class,IL,10823910.153558262,5.659691253143234
0.81,19.0,9.0,404.0,6.57,17.23,171.0,23.8,3,Yes,No,No,No,Brass,Airways,1,2018,4,Working Class,FL,10824671.686441738,6.404467838254435
0.58,14.0,6.0,1591.0,5.8,15.03,84.0,20.83,-2,No,No,Yes,No,Bronze,Roadways,6,2018,1,Working Class,WI,10824964.146441739,5.591919381510808
0.77,21.766204081632655,13.0,404.0,4.9,22.51,282.9606530612245,27.410000000000004,3,No,Yes,No,No,Brass,Airways,2,2015,5,Working Class,IL,10824995.926441738,6.448667850620561
0.15,21.766204081632655,6.0,406.0,3.45,24.54,130.59722448979593,27.99,0,No,No,Yes,No,Aluminium,Roadways,9,2016,6,Working Class,MO,10825578.433558261,5.182569758003724
0.89,7.0,5.0,403.0,5.54,16.9,35.0,22.439999999999998,2,No,Yes,No,No,Bronze,Roadways,2,2015,0,Working Class,NJ,10825870.78644174,5.991114485843687
0.36,26.0,6.0,1594.0,6.32,13.61,156.0,19.93,3,No,No,No,Yes,Clay,Roadways,3,2018,5,Working Class,WA,10826813.513558261,5.370126269294469
0.4618504347826087,21.766204081632655,5.0,403.0,3.76,24.21,108.83102040816327,27.97,0,No,No,No,No,Brass,Roadways,8,2019,2,Working Class,AA,10827747.098274782,5.943324171780047
0.89,21.766204081632655,9.0,1576.0,13.21,23.57,195.8958367346939,36.78,4,Yes,No,No,No,Aluminium,Waterways,1,2016,1,Working Class,AA,10827754.926441738,6.782146703504459
0.47,26.0,7.0,400.0,6.47,14.2,182.0,20.669999999999998,1,No,No,No,No,Wood,Waterways,9,2017,6,Working Class,MS,10828577.006441738,5.357764825191457
0.9,11.0,6.0,401.0,4.28,12.57,66.0,16.85,0,No,No,Yes,Yes,Clay,Waterways,12,2018,6,Working Class,WA,10829674.06644174,5.847218817566255
0.62,21.0,9.617647058823529,401.0,3.95,13.76,201.97058823529412,17.71,3,Yes,Yes,No,No,Wood,Roadways,9,2018,5,Working Class,SC,10829722.026441738,5.6907647775748975
0.39,36.0,10.0,1596.0,3.72,17.09,360.0,20.81,3,No,No,No,Yes,Clay,Roadways,10,2015,4,Working Class,WV,10830752.793558262,5.540753611242655
0.47,16.0,6.0,399.0,4.47,23.5,96.0,27.97,-4,No,No,Yes,Yes,Brass,Roadways,12,2018,5,Working Class,NJ,10830827.986441739,5.602081919829862
0.24,26.0,14.0,398.0,6.61,20.17,364.0,26.78,-1,Yes,Yes,Yes,No,Wood,Airways,8,2015,3,Wealthy,TN,10831160.453558262,5.505372185512662
0.2,12.0,7.0,398.0,5.3,13.39,84.0,18.69,0,Yes,No,Yes,Yes,Clay,Roadways,1,2017,0,Working Class,AL,10831212.03355826,5.214718342671723
0.0,14.0,6.0,399.0,4.73,20.26,84.0,24.990000000000002,0,No,No,No,No,Aluminium,Waterways,6,2017,6,Working Class,VA,10831240.593558261,4.8182634014487995
0.5,21.766204081632655,9.617647058823529,398.0,4.54,21.85,209.33966866746698,26.39,4,Yes,No,No,No,Aluminium,Roadways,10,2018,0,Working Class,TN,10831875.38644174,5.640381084517819
0.35,21.0,12.0,1600.0,4.36,24.09,252.0,28.45,0,No,No,Yes,Yes,Clay,Roadways,4,2017,4,Wealthy,VT,10831877.65355826,5.809312975865665
0.7,8.0,9.617647058823529,400.0,3.38,18.81,76.94117647058823,22.189999999999998,-2,No,No,Yes,No,Bronze,Waterways,1,2018,6,Working Class,WY,10832420.846441738,5.510642610426367
0.67,22.0,8.0,1603.0,6.41,12.51,176.0,18.92,3,Yes,Yes,Yes,Yes,Clay,Airways,6,2016,3,Working Class,ME,10832569.666441739,6.455057043892755
0.92,15.0,6.0,1585.0,12.96,13.8,90.0,26.76,1,Yes,No,No,No,Brass,Roadways,1,2016,6,Wealthy,SD,10832736.96644174,6.040944949198878
0.86,20.0,12.0,397.0,5.1,19.91,240.0,25.009999999999998,4,No,No,No,No,Wood,Waterways,8,2017,6,Working Class,ME,10832931.30644174,6.474045005433671
0.15,31.0,16.0,1601.0,4.22,10.9,496.0,15.120000000000001,4,Yes,Yes,Yes,No,Aluminium,Airways,12,2018,4,Wealthy,OR,10833084.13355826,5.4149441784797565
0.48,10.0,4.0,396.0,6.78,14.43,40.0,21.21,-1,No,Yes,Yes,No,Bronze,Airways,2,2019,1,Wealthy,UT,10833414.78644174,5.554973060394695
0.02,23.0,13.0,1599.0,3.67,18.47,299.0,22.14,3,No,No,Yes,No,Aluminium,Waterways,2,2019,6,Working Class,MS,10833433.313558262,5.0028047149810675
0.42,37.0,14.0,395.0,5.43,18.45,518.0,23.88,-3,Yes,Yes,No,No,Wood,Airways,7,2016,2,Wealthy,SC,10834305.19355826,5.631140094664089
0.18,26.0,6.0,1606.0,6.56,16.18,156.0,22.74,1,No,No,No,Yes,Clay,Airways,12,2017,2,Working Class,KS,10834622.353558261,5.227841252743712
0.33,14.0,6.0,398.0,3.31,24.88,84.0,28.189999999999998,2,Yes,No,No,Yes,Clay,Roadways,3,2016,2,Working Class,SD,10834685.95355826,5.5819914176022785
0.64,5.0,5.0,395.0,5.12,18.14,25.0,23.26,-4,No,No,No,No,Brass,Roadways,7,2019,3,Wealthy,DC,10834732.326441739,5.502685762535912
0.72,15.0,8.0,1602.0,8.57,15.26,120.0,23.83,1,No,No,Yes,Yes,Clay,Roadways,4,2016,3,Working Class,MI,10834772.28644174,6.660331842393918
0.79,37.0,15.0,395.0,5.22,17.55,555.0,22.77,-4,No,Yes,Yes,No,Wood,Roadways,11,2015,3,Working Class,DC,10834941.08644174,6.532799977078544
0.4618504347826087,9.0,4.0,397.0,3.48,20.73,36.0,24.21,4,Yes,No,No,No,Brass,Waterways,5,2019,5,Working Class,AE,10835273.398274783,5.533270904621604
0.36,30.0,12.0,1609.0,5.48,21.84,360.0,27.32,1,No,No,No,No,Aluminium,Roadways,8,2018,2,Working Class,KY,10836117.03355826,5.486579576004063
0.4618504347826087,13.0,6.0,1609.0,5.31,13.81,78.0,19.12,4,No,Yes,No,No,Bronze,Roadways,9,2017,0,Wealthy,MD,10836173.718274783,5.6024139802679125
0.19,9.0,5.0,395.0,4.19,18.56,45.0,22.75,0,No,Yes,No,No,Bronze,Roadways,10,2015,1,Wealthy,OH,10836230.41355826,5.186155999659706
0.65,13.0,8.0,396.0,3.47,11.13,104.0,14.600000000000001,-4,Yes,Yes,No,Yes,Clay,Roadways,2,2016,3,Working Class,AP,10836656.826441739,5.40976929184218
0.17,14.0,6.0,393.0,6.33,22.54,84.0,28.869999999999997,2,No,Yes,No,No,Aluminium,Airways,8,2018,2,Working Class,AA,10836903.573558262,5.17042717524212
0.99,8.0,5.0,393.0,5.22,20.55,40.0,25.77,-1,No,Yes,Yes,No,Brass,Roadways,1,2016,3,Wealthy,IA,10837838.26644174,6.427264855012219
0.26,23.0,14.0,1614.0,5.06,23.11,322.0,28.169999999999998,-1,No,Yes,No,No,Aluminium,Roadways,12,2016,5,Working Class,AR,10839739.73355826,5.339267352876991
0.06,29.0,12.0,1610.0,3.8,14.98,348.0,18.78,4,Yes,No,No,No,Aluminium,Waterways,5,2019,2,Working Class,DE,10839831.79355826,4.880298792368253
0.56,9.0,5.0,1615.0,5.32,24.74,45.0,30.06,2,Yes,No,No,No,Brass,Waterways,5,2017,0,Working Class,OR,10840033.38644174,5.7662563659115555
0.6,21.766204081632655,8.0,393.0,3.39,22.18,174.12963265306124,25.57,-1,No,No,No,No,Aluminium,Waterways,12,2018,2,Working Class,AE,10840285.94644174,5.620147210360944
0.36,13.0,6.0,390.0,6.8,17.98,78.0,24.78,0,No,No,Yes,No,Aluminium,Waterways,1,2018,5,Working Class,SD,10840475.19355826,5.3045976045051875
0.64,9.0,4.0,390.0,6.71,23.98,36.0,30.69,4,Yes,No,Yes,No,Bronze,Waterways,8,2018,3,Working Class,IL,10840520.28644174,6.026059191872481
0.93,6.0,4.0,1611.0,3.63,16.69,24.0,20.32,0,No,No,No,No,Marble,Airways,8,2019,2,Working Class,CO,10841121.406441739,5.728962773186499
0.05,7.0,5.0,390.0,5.01,12.98,35.0,17.990000000000002,-2,No,Yes,Yes,No,Brass,Roadways,1,2019,0,Wealthy,HI,10841164.71355826,4.997887721273753
0.33,17.0,6.0,391.0,3.94,11.56,102.0,15.5,2,Yes,No,Yes,No,Aluminium,Waterways,12,2016,6,Working Class,SC,10841203.493558262,5.079290330745667
0.78,21.766204081632655,8.0,1616.0,6.88,16.63,174.12963265306124,23.509999999999998,-1,Yes,Yes,No,Yes,Clay,Roadways,9,2015,2,Wealthy,CA,10841358.94644174,6.63014234220714
0.78,19.0,10.0,389.0,5.61,15.05,190.0,20.66,-3,No,Yes,Yes,No,Wood,Roadways,7,2019,1,Wealthy,CA,10841688.30644174,6.169129445143161
0.48,11.0,6.0,387.0,5.84,22.26,66.0,28.1,-1,Yes,No,No,Yes,Clay,Waterways,3,2018,0,Wealthy,AZ,10843530.04644174,5.612032616046633
0.54,44.0,13.0,387.0,5.99,18.35,572.0,24.340000000000003,0,No,Yes,No,No,Wood,Airways,5,2017,4,Working Class,NC,10843571.88644174,5.8795268938671175
0.36,4.0,3.0,387.0,6.25,18.06,12.0,24.31,-2,Yes,No,No,No,Marble,Waterways,8,2019,6,Working Class,CA,10843622.853558261,5.374769018708368
0.2,23.0,12.0,387.0,5.94,23.83,276.0,29.77,0,No,No,No,No,Wood,Airways,8,2015,2,Working Class,FL,10843798.473558262,5.20142092930234
0.65,15.0,6.0,387.0,5.35,24.71,90.0,30.060000000000002,-3,No,No,Yes,No,Aluminium,Roadways,3,2016,0,Wealthy,AR,10843926.326441739,5.974699800775252
0.57,14.0,7.0,1622.0,5.24,16.81,98.0,22.049999999999997,3,No,No,No,No,Brass,Roadways,11,2015,2,Working Class,TN,10844579.926441738,5.7418165866407955
0.42,22.0,14.0,386.0,5.08,23.28,308.0,28.36,0,No,Yes,No,No,Wood,Airways,3,2015,1,Working Class,AP,10845167.813558262,5.591098914544516
0.63,22.0,6.0,1624.0,6.09,12.92,132.0,19.009999999999998,3,No,Yes,No,Yes,Clay,Airways,5,2019,3,Working Class,WI,10845659.54644174,6.081647971165961
0.9,6.0,5.0,386.0,6.57,22.06,30.0,28.63,2,No,Yes,No,No,Brass,Roadways,8,2015,0,Wealthy,MN,10845729.36644174,6.455355783684759
0.45,31.0,8.0,1624.0,4.92,19.52,248.0,24.439999999999998,3,Yes,Yes,No,Yes,Brass,Roadways,2,2017,0,Working Class,CT,10846115.39355826,5.943638917625377
0.64,46.0,16.0,1619.0,9.98,12.78,736.0,22.759999999999998,0,No,No,Yes,No,Wood,Roadways,7,2018,4,Working Class,WA,10847610.826441739,6.7992453647263345
0.3,24.0,8.0,384.0,4.77,11.71,192.0,16.48,0,No,Yes,No,No,Wood,Roadways,8,2015,3,Wealthy,SD,10848044.31355826,5.085309772421717
0.4618504347826087,13.0,6.0,385.0,3.95,13.51,78.0,17.46,3,No,Yes,No,No,Aluminium,Roadways,11,2015,1,Working Class,AP,10848191.138274781,4.798431682820381
0.96,29.0,8.0,1628.0,6.34,18.44,232.0,24.78,-1,No,No,Yes,Yes,Clay,Roadways,7,2017,6,Wealthy,UT,10849124.18644174,7.196424364176544
0.28,9.0,4.0,382.0,5.38,15.69,36.0,21.07,4,No,Yes,No,No,Bronze,Airways,4,2016,1,Wealthy,MI,10849830.89355826,5.310937397904139
